model,kind,testsuite,program,total_mutants,Sn,C,estimator,estimate,CILower,CIUpper
abundance,method,evosuite,commons-net,5694,1751,0.99,ACE,1891.533,1860.081,1932.054
abundance,method,evosuite,commons-net,5694,1751,0.99,ACE-1,1910.37,1873.534,1958.279
abundance,method,evosuite,commons-net,5694,1751,0.99,Jack1,1997.99,1958.128,2045.524
abundance,method,evosuite,commons-net,5694,1751,0.99,Jack2,1977.002,1913.243,2065.819
abundance,method,evosuite,commons-math,47876,22079,0.995,Chao1,24354.501,24149.899,24579.316
abundance,method,evosuite,commons-math,47876,22079,0.995,Chao1-bc,24352.547,24148.109,24577.184
abundance,method,evosuite,commons-math,47876,22079,0.995,iChao1,24919.931,24786.474,25059.966
abundance,method,evosuite,commons-math,47876,22079,0.995,ACE,23706.62,23587.78,23834.82
abundance,method,evosuite,commons-math,47876,22079,0.995,ACE-1,23954.392,23811.853,24108.655
abundance,method,evosuite,commons-math,47876,22079,0.995,Jack1,25034.995,24888.096,25189.577
abundance,method,evosuite,commons-math,47876,22079,0.995,Jack2,26070.995,25818.393,26340.661
abundance,method,randoop,commons-csv,635,238,1,Chao1,265,246.401,324.775
abundance,method,randoop,commons-csv,635,238,1,Chao1-bc,259.857,244.981,306.433
abundance,method,randoop,commons-csv,635,238,1,iChao1,270.062,251.282,315.399
abundance,method,randoop,commons-csv,635,238,1,ACE,264.707,248.668,304.856
abundance,method,randoop,commons-csv,635,238,1,ACE-1,282.985,253.308,370.201
abundance,method,randoop,commons-csv,635,238,1,Jack1,256,247.527,272.007
abundance,method,randoop,commons-csv,635,238,1,Jack2,268,253.508,296.032
abundance,method,randoop,commons-collections,8306,1226,0.969,Chao1,1548.859,1476.487,1642.141
abundance,method,randoop,commons-collections,8306,1226,0.969,Chao1-bc,1546.799,1474.863,1639.528
abundance,method,randoop,commons-collections,8306,1226,0.969,iChao1,1629.57,1587.102,1677.031
abundance,method,randoop,commons-collections,8306,1226,0.969,ACE,1636.614,1560.801,1729.596
abundance,method,randoop,commons-collections,8306,1226,0.969,ACE-1,1766.606,1654.618,1907.855
abundance,method,randoop,commons-collections,8306,1226,0.969,Jack1,1630.969,1578.921,1690.692
abundance,method,randoop,commons-collections,8306,1226,0.969,Jack2,1781.965,1693.445,1887.247
abundance,method,randoop,commons-compress,9520,2082,0.999,Chao1,2217.705,2174.138,2281.873
abundance,method,randoop,commons-compress,9520,2082,0.999,Chao1-bc,2215.69,2172.734,2278.981
abundance,method,randoop,commons-compress,9520,2082,0.999,iChao1,2241.468,2205.569,2287.796
abundance,method,randoop,commons-compress,9520,2082,0.999,ACE,2164.973,2142.51,2195.774
abundance,method,randoop,commons-compress,9520,2082,0.999,ACE-1,2175.247,2149.391,2211.024
abundance,method,randoop,commons-compress,9520,2082,0.999,Jack1,2253.999,2221.316,2294.348
abundance,method,randoop,commons-compress,9520,2082,0.999,Jack2,2316.998,2261.988,2388.822
abundance,method,randoop,commons-configuration,6163,2157,0.998,Chao1,2435.518,2365.615,2528.845
abundance,method,randoop,commons-configuration,6163,2157,0.998,Chao1-bc,2433.071,2363.77,2525.6
abundance,method,randoop,commons-configuration,6163,2157,0.998,iChao1,2503.9,2458.371,2556.308
abundance,method,randoop,commons-configuration,6163,2157,0.998,ACE,2376.658,2332.017,2432.684
abundance,method,randoop,commons-configuration,6163,2157,0.998,ACE-1,2425.981,2367.924,2500.017
abundance,method,randoop,commons-configuration,6163,2157,0.998,Jack1,2470.998,2425.597,2524.073
abundance,method,randoop,commons-configuration,6163,2157,0.998,Jack2,2607.998,2530.63,2701.386
abundance,method,randoop,commons-dbcp,4184,737,0.994,Chao1,847.716,808.919,907.442
abundance,method,randoop,commons-dbcp,4184,737,0.994,Chao1-bc,845.651,807.542,904.346
abundance,method,randoop,commons-dbcp,4184,737,0.994,iChao1,868.268,838.236,907.209
abundance,method,randoop,commons-dbcp,4184,737,0.994,ACE,819.365,795.018,853.927
abundance,method,randoop,commons-dbcp,4184,737,0.994,ACE-1,834.031,804.059,877.401
abundance,method,randoop,commons-dbcp,4184,737,0.994,Jack1,874.994,846.083,911.569
abundance,method,randoop,commons-dbcp,4184,737,0.994,Jack2,926.994,878.436,992.222
abundance,method,randoop,commons-imaging,11577,374,0.84,Chao1,799.192,657.587,1011.507
abundance,method,randoop,commons-imaging,11577,374,0.84,Chao1-bc,788.252,651.193,993.082
abundance,method,randoop,commons-imaging,11577,374,0.84,iChao1,862.21,740.813,1023.784
abundance,method,randoop,commons-imaging,11577,374,0.84,ACE,685.512,599.677,803.992
abundance,method,randoop,commons-imaging,11577,374,0.84,ACE-1,856.601,698.736,1091.211
abundance,method,randoop,commons-imaging,11577,374,0.84,Jack1,573.84,538.346,617.001
abundance,method,randoop,commons-imaging,11577,374,0.84,Jack2,726.634,665.067,801.223
abundance,method,randoop,commons-io,3243,1208,1,Chao1,1281.5,1240.315,1375.172
abundance,method,randoop,commons-io,3243,1208,1,Chao1-bc,1274.231,1237.616,1356.115
abundance,method,randoop,commons-io,3243,1208,1,iChao1,1290.5,1247.829,1378.886
abundance,method,randoop,commons-io,3243,1208,1,ACE,1260.729,1235.41,1309.434
abundance,method,randoop,commons-io,3243,1208,1,ACE-1,1293.781,1247.75,1393.114
abundance,method,randoop,commons-io,3243,1208,1,Jack1,1250,1235.521,1272.097
abundance,method,randoop,commons-io,3243,1208,1,Jack2,1280,1254.977,1318.352
abundance,method,randoop,commons-lang,13054,5886,0.989,Chao1,6749.963,6630.199,6888.999
abundance,method,randoop,commons-lang,13054,5886,0.989,Chao1-bc,6748.148,6628.615,6886.921
abundance,method,randoop,commons-lang,13054,5886,0.989,iChao1,6961.12,6884.764,7043.313
abundance,method,randoop,commons-lang,13054,5886,0.989,ACE,6734.509,6641.178,6839.374
abundance,method,randoop,commons-lang,13054,5886,0.989,ACE-1,6923.224,6801.401,7061.26
abundance,method,randoop,commons-lang,13054,5886,0.989,Jack1,7060.989,6969.754,7159.905
abundance,method,randoop,commons-lang,13054,5886,0.989,Jack2,7436.99,7280.963,7610.468
abundance,method,randoop,commons-net,5694,1134,0.999,Chao1,1245.308,1197.719,1328.44
abundance,method,randoop,commons-net,5694,1134,0.999,Chao1-bc,1240.885,1195.333,1320.269
abundance,method,randoop,commons-net,5694,1134,0.999,iChao1,1271.494,1230.39,1330.128
abundance,method,randoop,commons-net,5694,1134,0.999,ACE,1194.422,1172.859,1227.95
abundance,method,randoop,commons-net,5694,1134,0.999,ACE-1,1210.444,1181.498,1257.03
abundance,method,randoop,commons-net,5694,1134,0.999,Jack1,1220.999,1198.742,1250.907
abundance,method,randoop,commons-net,5694,1134,0.999,Jack2,1273.999,1235.888,1326.364
abundance,method,randoop,commons-math,47876,1962,0.756,Chao1,3889.273,3604.931,4222.826
abundance,method,randoop,commons-math,47876,1962,0.756,Chao1-bc,3882.354,3599.236,4214.43
abundance,method,randoop,commons-math,47876,1962,0.756,iChao1,4213.646,3991.837,4459.692
abundance,method,randoop,commons-math,47876,1962,0.756,ACE,4383.757,4076.975,4735.037
abundance,method,randoop,commons-math,47876,1962,0.756,ACE-1,6127.457,5457.178,6926.276
abundance,method,randoop,commons-math,47876,1962,0.756,Jack1,3144.756,3053.212,3243.98
abundance,method,randoop,commons-math,47876,1962,0.756,Jack2,3964.492,3806.1,4136.49
